image_name,f0,f1,f2,f3,f4,f5,f6
1-sin(x).png,9,7,6,7,6,7,6
2-absolute(x).png,13,7,6,7,6,7,6
3-square(x).png,10,7,6,7,6,7,6
4-sin(x).png,9,7,6,7,6,7,6
5-identity_function(x).png,7,7,6,7,6,7,6
6-absolute(x).png,13,7,6,7,6,7,6
7-exp(x).png,8,7,6,7,6,7,6
8-sin(x).png,9,7,6,7,6,7,6
9-tan(x).png,11,7,6,7,6,7,6
10-absolute(x).png,13,7,6,7,6,7,6
11-absolute(x).png,13,7,6,7,6,7,6
12-sin(x).png,9,7,6,7,6,7,6
13-sin(x).png,9,7,6,7,6,7,6
14-square(x).png,10,7,6,7,6,7,6
15-exp(x).png,8,7,6,7,6,7,6
16-exp(x).png,8,7,6,7,6,7,6
17-tan(x).png,11,7,6,7,6,7,6
18-identity_function(x).png,7,7,6,7,6,7,6
19-sin(x).png,9,7,6,7,6,7,6
20-absolute(x).png,13,7,6,7,6,7,6
21-absolute(x).png,13,7,6,7,6,7,6
22-tan(x).png,11,7,6,7,6,7,6
23-tan(x).png,11,7,6,7,6,7,6
24-square(x).png,10,7,6,7,6,7,6
25-sin(x).png,9,7,6,7,6,7,6
26-absolute(x).png,13,7,6,7,6,7,6
27-absolute(x).png,13,7,6,7,6,7,6
28-identity_function(x).png,7,7,6,7,6,7,6
29-square(x).png,10,7,6,7,6,7,6
30-sin(x).png,9,7,6,7,6,7,6
31-absolute(x).png,13,7,6,7,6,7,6
32-exp(x).png,8,7,6,7,6,7,6
33-identity_function(x).png,7,7,6,7,6,7,6
34-sin(x).png,9,7,6,7,6,7,6
35-absolute(x).png,13,7,6,7,6,7,6
36-sin(x).png,9,7,6,7,6,7,6
37-exp(x).png,8,7,6,7,6,7,6
38-exp(x).png,8,7,6,7,6,7,6
39-tan(x).png,11,7,6,7,6,7,6
40-exp(x).png,8,7,6,7,6,7,6
41-identity_function(x).png,7,7,6,7,6,7,6
42-square(x).png,10,7,6,7,6,7,6
43-absolute(x).png,13,7,6,7,6,7,6
44-exp(x).png,8,7,6,7,6,7,6
45-tan(x).png,11,7,6,7,6,7,6
46-sin(x).png,9,7,6,7,6,7,6
47-tan(x).png,11,7,6,7,6,7,6
48-identity_function(x).png,7,7,6,7,6,7,6
49-exp(x).png,8,7,6,7,6,7,6
50-tan(x).png,11,7,6,7,6,7,6
51-tan(x).png,11,7,6,7,6,7,6
52-sin(x).png,9,7,6,7,6,7,6
53-absolute(x).png,13,7,6,7,6,7,6
54-exp(x).png,8,7,6,7,6,7,6
55-absolute(x).png,13,7,6,7,6,7,6
56-sin(x).png,9,7,6,7,6,7,6
57-tan(x).png,11,7,6,7,6,7,6
58-square(x).png,10,7,6,7,6,7,6
59-identity_function(x).png,7,7,6,7,6,7,6
60-identity_function(x).png,7,7,6,7,6,7,6
61-absolute(x).png,13,7,6,7,6,7,6
62-exp(x).png,8,7,6,7,6,7,6
63-absolute(x).png,13,7,6,7,6,7,6
64-identity_function(x).png,7,7,6,7,6,7,6
65-exp(x).png,8,7,6,7,6,7,6
66-square(x).png,10,7,6,7,6,7,6
67-square(x).png,10,7,6,7,6,7,6
68-exp(x).png,8,7,6,7,6,7,6
69-absolute(x).png,13,7,6,7,6,7,6
70-absolute(x).png,13,7,6,7,6,7,6
71-sin(x).png,9,7,6,7,6,7,6
72-tan(x).png,11,7,6,7,6,7,6
73-sin(x).png,9,7,6,7,6,7,6
74-tan(x).png,11,7,6,7,6,7,6
75-absolute(x).png,13,7,6,7,6,7,6
76-tan(x).png,11,7,6,7,6,7,6
77-exp(x).png,8,7,6,7,6,7,6
78-sin(x).png,9,7,6,7,6,7,6
79-square(x).png,10,7,6,7,6,7,6
80-identity_function(x).png,7,7,6,7,6,7,6
81-square(x).png,10,7,6,7,6,7,6
82-sin(x).png,9,7,6,7,6,7,6
83-absolute(x).png,13,7,6,7,6,7,6
84-absolute(x).png,13,7,6,7,6,7,6
85-square(x).png,10,7,6,7,6,7,6
86-exp(x).png,8,7,6,7,6,7,6
87-identity_function(x).png,7,7,6,7,6,7,6
88-identity_function(x).png,7,7,6,7,6,7,6
89-exp(x).png,8,7,6,7,6,7,6
90-sin(x).png,9,7,6,7,6,7,6
91-square(x).png,10,7,6,7,6,7,6
92-exp(x).png,8,7,6,7,6,7,6
93-identity_function(x).png,7,7,6,7,6,7,6
94-exp(x).png,8,7,6,7,6,7,6
95-sin(x).png,9,7,6,7,6,7,6
96-square(x).png,10,7,6,7,6,7,6
97-sin(x).png,9,7,6,7,6,7,6
98-tan(x).png,11,7,6,7,6,7,6
99-exp(x).png,8,7,6,7,6,7,6
100-sin(x).png,9,7,6,7,6,7,6
101-identity_function(x).png,7,7,6,7,6,7,6
102-identity_function(x).png,7,7,6,7,6,7,6
103-sin(x).png,9,7,6,7,6,7,6
104-absolute(x).png,13,7,6,7,6,7,6
105-sin(x).png,9,7,6,7,6,7,6
106-square(x).png,10,7,6,7,6,7,6
107-sin(x).png,9,7,6,7,6,7,6
108-absolute(x).png,13,7,6,7,6,7,6
